date,value
2026-08-17,30.0
2026-08-18,30.5
2026-08-19,31.0
2026-08-20,31.5
2026-08-21,32.0
2026-08-22,32.5
2026-08-23,33.0
2026-08-24,30.0
2026-08-25,30.5
2026-08-26,31.0
2026-08-27,31.5
2026-08-28,32.0
2026-08-29,32.5
2026-08-30,33.0
2026-08-31,30.0
2026-09-01,30.5
2026-09-02,31.0
2026-09-03,31.5
2026-09-04,32.0
2026-09-05,32.5
2026-09-06,33.0
2026-09-07,30.0
2026-09-08,30.5
2026-09-09,31.0
2026-09-10,31.5
2026-09-11,32.0
2026-09-12,32.5
2026-09-13,33.0
2026-09-14,30.0
2026-09-15,30.5
2026-09-16,31.0
2026-09-17,31.5
2026-09-18,32.0
2026-09-19,32.5
2026-09-20,33.0
